Prueba;País;Id Orden;Id;Fecha de creación;Fecha última actualización;Id Comercio;Id Cuenta;Referencia;Descripción;Tipo de transacción;Estado;Código de respuesta;Código de respuesta banco;Mensaje de respueta de error;Medio de pago;Código de autorización;Modelo de pagos;Origen de la transacción;Modelo de acreditación;Días para depósito;BIN Banco;País BIN ISO;Número visible;Tipo tarjeta;Cuotas;Cuota abonada;Acción Id MAF;Moneda transacción;Valor transacción;IVA transacción;Moneda procesamiento;Valor procesamiento;Valor del envío;Valor de cuota;Documento del comprador;Nombre en Tarjeta de crédito;Tarjeta documento de identificación;Email del comprador;Email del pagador;Teléfono pagador dir cobro;Teléfono contacto pagador;Valor interés comercio;Tasa de interés comercio;Dirección de facturación;Ciudad de cobro;Dirección de envío;Ciudad de envío;Extra1;Extra2;Ciclo;Banco PSE;Punto de pago;Banco pago referenciado;Hash;Device session Id;Dirección IP;Código de trazabilidad;Puntaje red general;Nombre comprador;Franquicia;Código PSE;Identificador único red;Extra3;Valor cobrado;Tarifa administrativa;Valor adicional;Valor base devolucion iva
f;CO;1656895801;46acc572-edd5-4d43-ab83-4f6beff08eec;2021-09-20 15:57:57.951;2021-09-20 15:58:00.489;544539;546703;Cust9e0214 - 1;"15"" Notebook";AUTHORIZATION_AND_CAPTURE;APPROVED;APPROVED;00;Aprobado;REDEBAN_MASTERCARD;R07299;AGGREGATOR;STANDARD_HTML_v4_0;IMMEDIATE;0;BANCO DE OCCIDENTE;CO;541203******7479;CREDIT;1;1;145;COP;20000.00;3193.28;COP;20000.00;;20000.00;;Jorge E Rivero C;80876704;jorge.riveroc@gmail.com;jorge.riveroc@gmail.com;;57 3187120431;0.0000;0.000000;;;"";;;;;;;;5c7979769a9783197ff0323b78787ab6;26596cf0346a48f5b9da58fd1292fbab;186.86.33.37;977180;;Jhon Smith;MASTERCARD;;;;20000.00;0.00;0.00;16806.72
f;CO;1656895801;36805558-d326-46db-8b13-fbcc6492e776;2021-09-20 16:29:10.163;2021-09-20 16:29:16.344;544539;546703;Cust9e0214 - 1;"15"" Notebook";REFUND;APPROVED;APPROVED;00;Aprobado;REDEBAN_MASTERCARD;C07800;AGGREGATOR;STANDARD_HTML_v4_0;IMMEDIATE;;BANCO DE OCCIDENTE;CO;541203******7479;CREDIT;1;;;COP;20000.00;3193.28;COP;20000.00;;;;Jorge E Rivero C;80876704;jorge.riveroc@gmail.com;jorge.riveroc@gmail.com;;57 3187120431;;0.000000;;;"";;;;;;;;5c7979769a9783197ff0323b78787ab6;;;977180;;Jhon Smith;MASTERCARD;;;;20000.00;0.00;0.00;16806.72
f;CO;1656943585;6917b8f4-bd1b-4aa0-b91b-4dfd53da16b6;2021-09-21 09:33:40.777;2021-09-21 09:33:41.475;544539;546703;Cust75fd08 - 2;test product;PARTIAL_REFUND;APPROVED;APPROVED;;;REDEBAN_MASTERCARD;00000000;AGGREGATOR;CANCELLATION_MODULE;IMMEDIATE;;BANCO DE OCCIDENTE;CO;541203******7479;CREDIT;1;;;COP;150.00;0.00;COP;150.00;;;;Jorge E Rivero C;;jorge.riveroc@gmail.com;;;;;0.000000;;;"";;;;;;;;cac403fe42020c6fcf681efda31f8f15;;;00000000;;Jorge Rivero;MASTERCARD;;;;150.00;0.00;0.00;0.00
f;CO;1656943585;c9690c22-330c-490e-91e3-fc6a63485d6d;2021-09-20 16:37:55.923;2021-09-21 09:33:41.301;544539;546703;Cust75fd08 - 2;test product;AUTHORIZATION_AND_CAPTURE;APPROVED;APPROVED;00;Aprobado;REDEBAN_MASTERCARD;R00639;AGGREGATOR;STANDARD_HTML_v4_0;IMMEDIATE;0;BANCO DE OCCIDENTE;CO;541203******7479;CREDIT;1;1;204;COP;300.00;0.00;COP;300.00;;300.00;;Jorge E Rivero C;80876704;jorge.riveroc@gmail.com;jorge.riveroc@gmail.com;;57 3187120431;0.0000;0.000000;;;"";;;;;;;;cac403fe42020c6fcf681efda31f8f15;82c3cba5794efd7448473d6f14baa5a9;186.86.33.37;980595;;Jorge Rivero;MASTERCARD;;;;300.00;0.00;0.00;0.00
f;CO;1657337269;6fd5d470-e982-49d3-b1a2-b7ff5aca3bd9;2021-09-20 23:14:33.964;2021-09-26 00:18:38.821;544539;546703;Cust75fd08 - 3;test product;AUTHORIZATION_AND_CAPTURE;EXPIRED;EXPIRED_TRANSACTION;;;BALOTO;;AGGREGATOR;STANDARD_HTML_v4_0;IMMEDIATE;;;;;;1;;;COP;300.00;0.00;COP;300.00;;;;;;nelson.caranton@payulatam.com;nelson.caranton@payulatam.com;;;;0.000000;;;"";;;;;;;;81b9877197a418dfd7add4f4c78ad9ee;2d2fd9f81d4d2bd62b51da5cacb88194;186.29.149.53;6fd5d470-e982-49d3-b1a2-b7ff5aca3bd9;;Arley Caranton;BALOTO;;;;300.00;0.00;0.00;0.00
f;CO;1657344956;8afd52e8-9a56-4ada-b30a-744495aaaf6b;2021-09-20 23:30:34.436;2021-09-26 00:18:35.845;544539;546703;Cust9daa70 - 1;test 2;AUTHORIZATION_AND_CAPTURE;EXPIRED;EXPIRED_TRANSACTION;;;BALOTO;;AGGREGATOR;STANDARD_HTML_v4_0;IMMEDIATE;;;;;;1;;;COP;100000.00;0.00;COP;100000.00;;;;;;nelson.caranton@payulatam.com;nelson.caranton@payulatam.com;;;;0.000000;;;"";;;;;;;;e73f379e9fcc7f126dfec039d6e2c9f4;492b1b14813af99eb421c1a4de988e53;186.29.149.53;8afd52e8-9a56-4ada-b30a-744495aaaf6b;;Arley Caranton;BALOTO;;;;100000.00;0.00;0.00;0.00
f;CO;1657806475;ae413799-251c-417f-b685-b5c9cc02ad58;2021-09-21 10:48:13.701;2021-09-24 14:34:05.301;544539;546703;Cust81dc1e - 1;Partial refund test;AUTHORIZATION_AND_CAPTURE;APPROVED;APPROVED;00;;CREDIBANCO_VISA;880588;AGGREGATOR;STANDARD_HTML_v4_0;IMMEDIATE;0;RAPPIPAY;CO;491626******0905;CREDIT;1;1;510;COP;1000.00;0.00;COP;1000.00;;1000.00;;Jorge Rivero;80876704;jorge.riveroc@gmail.com;jorge.riveroc@gmail.com;;57 3187120431;0.0000;0.000000;;;"";;;;;;;;ce70119832733c0537d486ac734ba2fe;b713b613903a250aca2be426e538fccd;186.86.33.37;342219007;;Jorge Rivero;VISA;;;;1000.00;0.00;0.00;0.00
f;CO;1657806475;3edb2fb4-6e74-4bfb-8035-9929a3138c09;2021-09-24 14:34:04.985;2021-09-24 14:34:05.464;544539;546703;Cust81dc1e - 1;Partial refund test;PARTIAL_REFUND;APPROVED;APPROVED;;;CREDIBANCO_VISA;00000000;AGGREGATOR;CANCELLATION_MODULE;IMMEDIATE;;RAPPIPAY;CO;491626******0905;CREDIT;1;;;COP;950.00;0.00;COP;950.00;;;;Jorge Rivero;;jorge.riveroc@gmail.com;;;;;0.000000;;;"";;;;;;;;ce70119832733c0537d486ac734ba2fe;;;00000000;;Jorge Rivero;VISA;;;;950.00;0.00;0.00;0.00
f;CO;1658122252;2ed4f350-d087-425e-bcd4-c03b1e1a8a6f;2021-09-27 09:17:43.69;2021-09-27 09:17:44.492;544539;546703;Cust81dc1e - 2;Partial refund test;CHARGEBACK;APPROVED;APPROVED;;;REDEBAN_MASTERCARD;00000000;AGGREGATOR;STANDARD_HTML_v4_0;IMMEDIATE;;BANCO DE OCCIDENTE;CO;541203******7479;CREDIT;1;;;COP;1000.00;0.00;COP;1000.00;;;;Jorge Rivero;;jorge.riveroc@gmail.com;;;;;0.000000;;;"";;;;;;;;93ad52604e281834278f24fb2f3a19ee;;;00000000;;Jorge Rivero;MASTERCARD;;;;1000.00;0.00;0.00;0.00
f;CO;1658122252;f695398f-b037-46bc-8520-002b51b1d98b;2021-09-21 14:59:14.501;2021-09-27 09:17:44.323;544539;546703;Cust81dc1e - 2;Partial refund test;AUTHORIZATION_AND_CAPTURE;APPROVED;APPROVED;00;Aprobado;REDEBAN_MASTERCARD;R03861;AGGREGATOR;STANDARD_HTML_v4_0;IMMEDIATE;0;BANCO DE OCCIDENTE;CO;541203******7479;CREDIT;1;1;563;COP;1000.00;0.00;COP;1000.00;;1000.00;;Jorge Rivero;80876704;jorge.riveroc@gmail.com;jorge.riveroc@gmail.com;;57 3187120431;0.0000;0.000000;;;"";;;;;;;;93ad52604e281834278f24fb2f3a19ee;cdcb32a6fc5c655b95925118db927cf2;186.86.33.37;567667;;Jorge Rivero;MASTERCARD;;;;1000.00;0.00;0.00;0.00
