TransactionId;OrderId;Creation date;Last update;Reference;Description;Payer name;Buyer email;Original value;Original currency;Processed value;Processed currency;Order status;Payment method;Credit card type;Visible credit card number;Issuing bank;Transaction type;Transaction state;Response Code;Fee total number;Traceability code;Ally ID
c6f59e18-2e27-4da2-8eb2-2949609271e7;1665840973;2021-09-27 11:32:17.116;2021-09-27 11:32:17.247;Cust15d110 - 1;"TV set 32""";;ernestlwilson@dayrep.com;1000000.00;COP;1000000.00;COP;IN_PROGRESS;VIA;;;;AUTHORIZATION_AND_CAPTURE;PENDING;PENDING_TRANSACTION_CONFIRMATION;1;c6f59e18-2e27-4da2-8eb2-2949609271e7;
f695398f-b037-46bc-8520-002b51b1d98b;1658122252;2021-09-21 14:59:14.501;2021-09-21 14:59:17.029;Cust81dc1e - 2;Partial refund test;Jorge Rivero;jorge.riveroc@mail.com;1000.00;COP;1000.00;COP;CAPTURED;MasterCard;CREDIT;541203******7479;BANCO DE OCCIDENTE;AUTHORIZATION_AND_CAPTURE;APPROVED;APPROVED;1;567667;
ae413799-251c-417f-b685-b5c9cc02ad58;1657806475;2021-09-21 10:48:13.701;2021-09-21 10:48:17.048;Cust81dc1e - 1;Partial refund test;Jorge Rivero;jorge.riveroc@mail.com;1000.00;COP;1000.00;COP;CAPTURED;Visa;CREDIT;491626******0905;RAPPIPAY;AUTHORIZATION_AND_CAPTURE;APPROVED;APPROVED;1;342219007;
8afd52e8-9a56-4ada-b30a-744495aaaf6b;1657344956;2021-09-20 23:30:34.436;2021-09-26 00:18:35.845;Cust9daa70 - 1;test 2;;nelson.caranton@mail.com;100000.00;COP;100000.00;COP;CANCELLED;VIA;;;;AUTHORIZATION_AND_CAPTURE;EXPIRED;EXPIRED_TRANSACTION;1;8afd52e8-9a56-4ada-b30a-744495aaaf6b;
6fd5d470-e982-49d3-b1a2-b7ff5aca3bd9;1657337269;2021-09-20 23:14:33.964;2021-09-26 00:18:38.821;Cust75fd08 - 3;test product;;nelson.caranton@mail.com;300.00;COP;300.00;COP;CANCELLED;VIA;;;;AUTHORIZATION_AND_CAPTURE;EXPIRED;EXPIRED_TRANSACTION;1;6fd5d470-e982-49d3-b1a2-b7ff5aca3bd9;
c9690c22-330c-490e-91e3-fc6a63485d6d;1656943585;2021-09-20 16:37:55.923;2021-09-20 16:37:58.084;Cust75fd08 - 2;test product;Jorge E Rivero C;jorge.riveroc@mail.com;300.00;COP;300.00;COP;CAPTURED;MasterCard;CREDIT;541203******7479;BANCO DE OCCIDENTE;AUTHORIZATION_AND_CAPTURE;APPROVED;APPROVED;1;980595;
36805558-d326-46db-8b13-fbcc6492e776;1656895801;2021-09-20 15:57:57.951;2021-09-20 16:29:16.344;Cust9e0214 - 1;"15"" Notebook";Jorge E Rivero C;jorge.riveroc@mail.com;20000.00;COP;20000.00;COP;REFUNDED;MasterCard;CREDIT;541203******7479;BANCO DE OCCIDENTE;REFUND;APPROVED;APPROVED;1;977180;
d2127474-9cc6-4dfc-a435-d2d6b0d396a8;1652007029;2021-09-16 20:15:43.025;2021-09-22 00:18:11.39;Cust591949 - 1;test link;;nelson.caranton@mail.com;100000.00;COP;100000.00;COP;CANCELLED;VIA;;;;AUTHORIZATION_AND_CAPTURE;EXPIRED;EXPIRED_TRANSACTION;1;d2127474-9cc6-4dfc-a435-d2d6b0d396a8;
5dfe6f57-8b72-4b32-b61f-50f42c953829;1651985912;2021-09-16 19:58:52.091;2021-09-24 00:19:05.177;Custecb53f - 1;Test x1;;nelson.caranton@mail.com;200000.00;COP;200000.00;COP;CANCELLED;Efecty;;;;AUTHORIZATION_AND_CAPTURE;EXPIRED;EXPIRED_TRANSACTION;1;5dfe6f57-8b72-4b32-b61f-50f42c953829;
f7940753-ad74-4147-8627-eba50b0644d7;1644809973;2021-09-11 15:22:46.927;2021-09-11 15:22:47.458;Custebd844 - 2;prueba jpan01;Juan Acosta;jupaacna@mail.com;9000000.00;COP;9000000.00;COP;DECLINED;Visa;CREDIT;412345******2340;THANKSCARD;AUTHORIZATION_AND_CAPTURE;DECLINED;ANTIFRAUD_REJECTED;1;;
0c09d5d8-fd89-431f-b71d-3859f53ecd1e;1644806609;2021-09-11 15:19:46.607;2021-09-11 15:19:47.107;Custebd844 - 1;prueba jpan01;Juan Acosta;jupaacna@mail.com;9000000.00;COP;9000000.00;COP;DECLINED;Visa;CREDIT;412345******2340;THANKSCARD;AUTHORIZATION_AND_CAPTURE;DECLINED;ANTIFRAUD_REJECTED;1;;
67419a3c-9b70-4b3d-bdb9-deecdca2c11c;1640808800;2021-09-08 18:53:29.113;2021-09-14 00:30:12.394;Cust4af8e2 - 1;test;;nelson.caranton@mail.com;100000.00;COP;100000.00;COP;CANCELLED;VIA;;;;AUTHORIZATION_AND_CAPTURE;EXPIRED;EXPIRED_TRANSACTION;1;67419a3c-9b70-4b3d-bdb9-deecdca2c11c;
